Item Code(รหัส),Description(ชื่อยา/บริการ),Trade Name(ชื่อการค้า),Common Name(ชื่อใช้เรียกบ่อย),Unit(หน่วยนับ),Receipt Category(หมวดใบเสร็จ),Alert Min,Alert Max,Formula,Sell Price(ราคาขาย),Rx Default,Status
'020000000140,vet scan:Mammalian liver profile,Mammalian liver profile,Mammalian liver profile,Test,ค่าตรวจทางห้องปฎิบัติการ,0,0,A - Unit price,650.00 / Test,ไม่มี,Active
'020000000141,fentanyl (injection),fentanyl (injection),fentanyl (injection),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,"0.01-1 = 100.00; 1.01-2 = 200.00; 2.01-3 = 300.00; 3.01-4 = 400.00; 4.01-5 = 500.00; 5.01-10 = 600.00; 10.01-15 = 700.00; 15.01-20 = 800.00; 20.01-25 = 900.00; 25.01-30 = 1,000.00; 30.01-40 = 1,200.00; 40.01-50 = 1,300.00; 50.01-60 = 1,400.00; 60.01-70 = 1,500.00; 70.01-80 = 1,600.00; 80.01-90 = 1,700.00; 90.01-100 = 1,800.00",ไม่มี,Active
'020000000142,Insugen-R 10 ml (Regular) ขายยกขวด,(Tx) Insugen-R (Regular) ขายยกขวด,(Tx) Insugen-R (Regular) ขายยกขวด,ขวด,ค่ายานำกลับ,0,0,A - Unit price,400.00 / ขวด,มี,Active
'020000000143,Shotapen (benzylpenicillin+streptomycin),Shotapen (benzylpenicillin+streptomycin),Shotapen (benzylpenicillin+streptomycin),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-1 = 50.00; 1.01-2 = 80.00; 2.01-3 = 100.00; 3.01-4 = 120.00; 4.01-5 = 140.00; 5.01-6 = 160.00; 6.01-7 = 180.00,ไม่มี,Active
'020000000144,Newcastle test kit,Newcastle test kit,Newcastle test kit,Test,ค่าเวชภัณฑ์ / วัสดุการแพทย์,0.0,0.0,A - Unit price,250.00 / Test; 250.00 / Test,ไม่มี,Active
'020000000146,Vcheck CPL,,Vcheck CPL,Test,ค่าตรวจทางห้องปฎิบัติการ,0,0,A - Unit price,650.00 / Test,ไม่มี,Active
'020000000147,Vcheck FPL,Vcheck FPL,Vcheck FPL,Test,ค่าตรวจทางห้องปฎิบัติการ,0,0,A - Unit price,700.00 / Test,ไม่มี,Active
'020000000148,Bio-Fiber (Food Fiber),Bio-Fiber (Food Fiber),Bio-Fiber (ปรับสมดุลลำไส้),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,6.00 / เม็ด,มี,Active
'020000000149,Pancreatin 500 mg /ยาช่วยย่อย,Probiotic and Prebiotic,pancreatin 500 mg/ยาช่วยย่อย,แคปซูล,ค่ายานำกลับ,0,0,A - Unit price,20.00 / แคปซูล,มี,Active
'020000000150,Avian/Reptilian profile plus,Avian/Reptilian profile plus,Avian/Reptilian profile plus,Test,ค่าตรวจทางห้องปฎิบัติการ,0,0,A - Unit price,900.00 / Test,ไม่มี,Active
'020000000151,Tx:Clexane (Enoxaparine 8000 IU/0.8ml),Clexane (Enoxaparine 8000 IU/0.8ml),Clexane (Enoxaparine 8000 IU/0.8ml),หลอด,ค่ายาฉีด / สารน้ำ,0.0,0.0,A - Unit price,500.00 / หลอด; 500.00 / หลอด,ไม่มี,Active
'020000000152,Midazolam inj (ยานำสลบ),,Midazolam inj,ซีซี,ค่ายาฉีด / สารน้ำ,0.0,0.0,B - Range price,0.01-0.5 = 100.00; 0.51-1 = 150.00; 1.01-2 = 200.00; 2.01-2.5 = 250.00; 2.51-3 = 300.00; 3.01-3.5 = 350.00; 3.51-4 = 400.00; 4.01-4.5 = 450.00; 4.51-5 = 500.00; 0.01-0.5 = 100.00; 0.51-1 = 150.00; 1.01-2 = 200.00; 2.01-2.5 = 250.00; 2.51-3 = 300.00; 3.01-3.5 = 350.00; 3.51-4 = 400.00; 4.01-4.5 = 450.00; 4.51-5 = 500.00,ไม่มี,Active
